22. Decembre 2009 | 15:35:56 | Current JunkBuster configuration:
22. Decembre 2009 | 15:35:56 | - WeaponHack = 1
22. Decembre 2009 | 15:35:56 | - MoneyHack = 1
22. Decembre 2009 | 15:35:56 | - Jetpack = 1
22. Decembre 2009 | 15:35:56 | - HealthHack = 1
22. Decembre 2009 | 15:35:56 | - ArmourHack = 1
22. Decembre 2009 | 15:35:56 | - DriveBy = 1
22. Decembre 2009 | 15:35:56 | - Spam = 1
22. Decembre 2009 | 15:35:56 | - CommandSpam = 1
22. Decembre 2009 | 15:35:56 | - BadWords = 0
22. Decembre 2009 | 15:35:56 | - CarJackHack = 1
22. Decembre 2009 | 15:35:56 | - TeleportHack = 1
22. Decembre 2009 | 15:35:56 | - MaxPing = 450
22. Decembre 2009 | 15:35:56 | - SpectateHack = 1
22. Decembre 2009 | 15:35:56 | - Blacklist = 1
22. Decembre 2009 | 15:35:56 | - IpBans = 1
22. Decembre 2009 | 15:35:56 | - TempBans = 1
22. Decembre 2009 | 15:35:56 | - SpawnKill = 3
22. Decembre 2009 | 15:35:56 | - CapsLock = 1
22. Decembre 2009 | 15:35:56 | - 3DSpeed = 0
22. Decembre 2009 | 15:35:56 | - MaxSpeed = 220
22. Decembre 2009 | 15:35:56 | - AdminImmunity = 1
22. Decembre 2009 | 15:35:56 | - Advertisement = 0
22. Decembre 2009 | 15:35:56 | - FreezeUpdate = 0
22. Decembre 2009 | 15:35:56 | - SpawnTime = 10
22. Decembre 2009 | 15:35:56 | 1 IP-bans have been loaded.
22. Decembre 2009 | 15:35:56 | 1 temporary bans have been loaded.
22. Decembre 2009 | 15:35:56 | 2 whitelist entries have been loaded.
22. Decembre 2009 | 15:35:56 | 4 blacklist entries have been loaded.
22. Decembre 2009 | 15:35:56 | 41 bad words have been loaded.
22. Decembre 2009 | 15:35:56 | 4 forbidden weapons have been loaded.
22. Decembre 2009 | 15:35:56 | JunkBuster has been configurated.
22. Decembre 2009 | 15:35:56 | JunkBuster has successfully been loaded.
22. Decembre 2009 | 15:49:51 | IP 127.0.0.1 has logged in as RCON-admin
22. Decembre 2009 | 15:50:15 | MoNeYPiMp has set variable 'DriveBy' to 0.
22. Decembre 2009 | 15:50:50 | MoNeYPiMp has set variable 'MaxPing' to 600.
22. Decembre 2009 | 15:51:50 | Current JunkBuster configuration:
22. Decembre 2009 | 15:51:50 | - WeaponHack = 1
22. Decembre 2009 | 15:51:50 | - MoneyHack = 1
